code,offense,ilcs_reference,us_code,ucmj_article,offense_category,index_offense,csa_mvt_without_hierarchy
3966,Educational Intimidation,720-5/12-7.2,,,Intimidation,,
3967,Stalking,720-5/12-7.3,,,Intimidation,,
3968,Cyberstalking,720-5/12-7.5,,,Intimidation,,
3970,Extortion,,875,,Intimidation,,
3970,Extortion,,876,,Intimidation,,
3975,Compelling Organization Membership,720-5/12-6.1,,,Intimidation,,
3980,Compelling a Confession or Information by Force or Threat,720-5/12-7,,,Intimidation,,
4210,Kidnapping,720-5/10-1,,,Kidnapping,,
4220,Aggravated Kidnapping,720-5/10-2,,,Kidnapping,,
4225,Aggravated Unlawful Restraint,720-5/10-3.1,,,Kidnapping,,
4230,Unlawful Restraint,720-5/10-3,,,Kidnapping,,
4240,Forcible Detention,720-5/10-4,,,Kidnapping,,
4250,Child Abduction,720-5/10-5,,,Kidnapping,,
4255,Unlawful Visitation Interference,720-5/10-5.5,,,Kidnapping,,
4260,Aiding & Abetting Child Abduction,720-5/10-7,,,Kidnapping,,
4270,Harboring a Runaway,720-5/10-6,,,Kidnapping,,
4315,Soliciting or Providing Material Support for Terrorism,720-5/29D-15,,,Threat - Terrorism,,
4320,Making a Terrorist Threat,720-5/29D-20,,,Threat - Terrorism,,
4325,Falsely Making a Terrorist Threat,720-5/29D-25,,,Threat - Terrorism,,
4330,Hinder Prosecution of Terrorism,720-5/29D-35,,,Threat - Terrorism,,
4505,Sex Offender - Failure to Register,730-150/3,,,Violation Of Criminal Registry Laws,,
4515,"Sex Offender - Failure to Register New Address,
Employer, or School",730-150/6,,,Violation Of Criminal Registry Laws,,
4515,"Sex Offender - Failure to Register New Address,
Employer, or School",730-150/6.5,,,Violation Of Criminal Registry Laws,,
4520,"Sex Offender - Approaching, Contacting, Residing, or Communicating with Child
Communicating with Child",720-5/11-9.4,,,Violation Of Criminal Registry Laws,,
4525,Sex Offender - Prohibited Zone,720-5/11-9.3,,,Violation Of Criminal Registry Laws,,
4530,Sex Offender - Other Violation,,,,Violation Of Criminal Registry Laws,,
4550,Violation of Arsonist Registration Act,730-148/1,,,Violation Of Criminal Registry Laws,,
4570,Violation of Child Murderer & Violent Offender Against Youth Reg. Act,730-154/1,,,Violation Of Criminal Registry Laws,,
4310,Possession of Burglary Tools,720-5/19-2,,,Other Offenses,,
4387,Violation of Order of Protection,720-5/12-30 & 750-60/223,,,Other Offenses,,
4410,Destruction of Draft Card,720-595/1,,,Other Offenses,,
4420,Criminal Fortification of a Residence or Building,720-5/19-5,,,Other Offenses,,
4510,Probation Violation,730-5/5-6-4,,,Other Offenses,,
4625,Parole Violation,730-5/3-3-9,,,Other Offenses,,
4710,Suspicion that Person Committed an Offense,725-5/107-2(c),,,Other Offenses,,
4720,AWOL,,,85,Other Offenses,,
4730,"Illegal Entry, Alien",,1325,,Other Offenses,,
4740,Unlawful Use of Body Armor,720-5/33F-2,,,Other Offenses,,
4750,Disclosure of Domestic Violence Victim Location,720-5/45-2,,,Other Offenses,,
4800,Money Laundering,720-5/29B-1,,,Other Offenses,,
4810,Compounding a Crime,720-5/32-1,,,Other Offenses,,
4860,Board Plane with Weapon,720-545/1,,,Other Offenses,,
4870,Domestic Dispute,,,,,,
5000,All Other Criminal Offenses,,,,,,
5060,Traffic - Illinois Vehicle Code,,,,,,
5081,In-state Warrant,,,,,,
5082,Out of State Warrant,,,,,,
5083,Recovered Property Only,,,,,,
